quarter,level_1,level_2,level_3,value
1995-Q1,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,17
1995-Q1,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-18
1995-Q1,Total Services Sector,Accommodation & Food Services,Accommodation,16
1995-Q1,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,-19
1995-Q1,Total Services Sector,Financial & Insurance,Banks & Finance Companies,22
1995-Q1,Total Services Sector,Financial & Insurance,Security Dealing Activities,17
1995-Q1,Total Services Sector,Financial & Insurance,Fund Management,na
1995-Q1,Total Services Sector,Financial & Insurance,Insurance Companies,28
1995-Q1,Total Services Sector,Financial & Insurance,Other Financial Services,26
1995-Q2,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,27
1995-Q2,Total Services Sector,Wholesale & Retail Trade,Retail Trade,7
1995-Q2,Total Services Sector,Accommodation & Food Services,Accommodation,61
1995-Q2,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,-11
1995-Q2,Total Services Sector,Financial & Insurance,Banks & Finance Companies,20
1995-Q2,Total Services Sector,Financial & Insurance,Security Dealing Activities,20
1995-Q2,Total Services Sector,Financial & Insurance,Fund Management,na
1995-Q2,Total Services Sector,Financial & Insurance,Insurance Companies,48
1995-Q2,Total Services Sector,Financial & Insurance,Other Financial Services,-7
1995-Q3,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,31
1995-Q3,Total Services Sector,Wholesale & Retail Trade,Retail Trade,23
1995-Q3,Total Services Sector,Accommodation & Food Services,Accommodation,71
1995-Q3,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,73
1995-Q3,Total Services Sector,Financial & Insurance,Banks & Finance Companies,21
1995-Q3,Total Services Sector,Financial & Insurance,Security Dealing Activities,39
1995-Q3,Total Services Sector,Financial & Insurance,Fund Management,na
1995-Q3,Total Services Sector,Financial & Insurance,Insurance Companies,49
1995-Q3,Total Services Sector,Financial & Insurance,Other Financial Services,16
1995-Q4,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,9
1995-Q4,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-5
1995-Q4,Total Services Sector,Accommodation & Food Services,Accommodation,17
1995-Q4,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,29
1995-Q4,Total Services Sector,Financial & Insurance,Banks & Finance Companies,12
1995-Q4,Total Services Sector,Financial & Insurance,Security Dealing Activities,52
1995-Q4,Total Services Sector,Financial & Insurance,Fund Management,na
1995-Q4,Total Services Sector,Financial & Insurance,Insurance Companies,3
1995-Q4,Total Services Sector,Financial & Insurance,Other Financial Services,14
1996-Q1,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,6
1996-Q1,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-36
1996-Q1,Total Services Sector,Accommodation & Food Services,Accommodation,-5
1996-Q1,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,-27
1996-Q1,Total Services Sector,Financial & Insurance,Banks & Finance Companies,23
1996-Q1,Total Services Sector,Financial & Insurance,Security Dealing Activities,44
1996-Q1,Total Services Sector,Financial & Insurance,Fund Management,na
1996-Q1,Total Services Sector,Financial & Insurance,Insurance Companies,27
1996-Q1,Total Services Sector,Financial & Insurance,Other Financial Services,25
1996-Q2,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,14
1996-Q2,Total Services Sector,Wholesale & Retail Trade,Retail Trade,15
1996-Q2,Total Services Sector,Accommodation & Food Services,Accommodation,39
1996-Q2,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,-9
1996-Q2,Total Services Sector,Financial & Insurance,Banks & Finance Companies,25
1996-Q2,Total Services Sector,Financial & Insurance,Security Dealing Activities,4
1996-Q2,Total Services Sector,Financial & Insurance,Fund Management,na
1996-Q2,Total Services Sector,Financial & Insurance,Insurance Companies,37
1996-Q2,Total Services Sector,Financial & Insurance,Other Financial Services,1
1996-Q3,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,5
1996-Q3,Total Services Sector,Wholesale & Retail Trade,Retail Trade,18
1996-Q3,Total Services Sector,Accommodation & Food Services,Accommodation,60
1996-Q3,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,14
1996-Q3,Total Services Sector,Financial & Insurance,Banks & Finance Companies,16
1996-Q3,Total Services Sector,Financial & Insurance,Security Dealing Activities,8
1996-Q3,Total Services Sector,Financial & Insurance,Fund Management,na
1996-Q3,Total Services Sector,Financial & Insurance,Insurance Companies,39
1996-Q3,Total Services Sector,Financial & Insurance,Other Financial Services,-19
1996-Q4,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,-3
1996-Q4,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-15
1996-Q4,Total Services Sector,Accommodation & Food Services,Accommodation,-11
1996-Q4,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,7
1996-Q4,Total Services Sector,Financial & Insurance,Banks & Finance Companies,24
1996-Q4,Total Services Sector,Financial & Insurance,Security Dealing Activities,14
1996-Q4,Total Services Sector,Financial & Insurance,Fund Management,na
1996-Q4,Total Services Sector,Financial & Insurance,Insurance Companies,-2
