mth,net_bal_amt
1961-01,150900000
1961-02,153200000
1961-03,155500000
1961-04,157800000
1961-05,160100000
1961-06,162500000
1961-07,164900000
1961-08,167200000
1961-09,169600000
1961-10,172100000
1961-11,174500000
1961-12,181000000
1962-01,182900000
1962-02,185300000
1962-03,187700000
1962-04,189900000
1962-05,192300000
1962-06,194700000
1962-07,197400000
1962-08,200100000
1962-09,202800000
1962-10,205600000
1962-11,208200000
1962-12,215800000
1963-01,217700000
1963-02,220400000
1963-03,223300000
1963-04,225700000
1963-05,228300000
1963-06,231000000
1963-07,233600000
1963-08,236300000
1963-09,239200000
1963-10,241800000
1963-11,244600000
1963-12,258200000
1964-01,260500000
1964-02,263200000
1964-03,266000000
1964-04,268800000
1964-05,271800000
1964-06,274800000
1964-07,277600000
1964-08,280700000
1964-09,283700000
1964-10,286400000
1964-11,289500000
1964-12,306300000
1965-01,309100000
1965-02,312100000
1965-03,315000000
1965-04,317900000
1965-05,320800000
1965-06,323900000
1965-07,326800000
1965-08,330000000
1965-09,333100000
1965-10,336200000
1965-11,339500000
1965-12,359000000
1966-01,362200000
1966-02,365300000
1966-03,368500000
1966-04,371700000
1966-05,375000000
1966-06,378200000
1966-07,381600000
1966-08,384700000
1966-09,388000000
1966-10,391300000
1966-11,394300000
1966-12,415900000
1967-01,419300000
1967-02,422400000
1967-03,425600000
1967-04,428600000
1967-05,430900000
1967-06,433800000
1967-07,436700000
1967-08,440100000
1967-09,443200000
1967-10,446700000
1967-11,450400000
1967-12,477300000
1968-01,479700000
1968-02,482300000
1968-03,485100000
1968-04,487900000
1968-05,490800000
1968-06,493100000
1968-07,495200000
1968-08,497700000
1968-09,500800000
1968-10,503600000
1968-11,507400000
1968-12,539700000
1969-01,544100000
1969-02,548200000
1969-03,552100000
1969-04,556400000
1969-05,562400000
1969-06,567700000
1969-07,573600000
1969-08,579200000
1969-09,584300000
1969-10,589700000
1969-11,595900000
1969-12,632200000
1970-01,636300000
1970-02,643500000
1970-03,649800000
1970-04,657800000
1970-05,665000000
1970-06,672700000
1970-07,681900000
1970-08,691700000
1970-09,702800000
1970-10,711900000
1970-11,723900000
1970-12,777500000
1971-01,786700000
1971-02,800600000
1971-03,813600000
1971-04,824900000
1971-05,839800000
1971-06,852800000
1971-07,867400000
1971-08,881900000
1971-09,894800000
1971-10,908700000
1971-11,923800000
1971-12,987900000
1972-01,1009300000
1972-02,1031400000
1972-03,1053800000
1972-04,1078700000
1972-05,1103500000
1972-06,1127900000
1972-07,1154100000
1972-08,1183400000
1972-09,1213000000
1972-10,1246800000
1972-11,1276800000
1972-12,1316000000
1973-01,1363400000
1973-02,1407000000
1973-03,1436400000
1973-04,1466400000
1973-05,1497400000
1973-06,1530200000
1973-07,1565200000
1973-08,1600700000
1973-09,1640500000
1973-10,1681200000
1973-11,1723500000
1973-12,1770700000
1974-01,1837400000
1974-02,1896300000
1974-03,1934100000
1974-04,1975000000
1974-05,2016800000
1974-06,2060100000
1974-07,2109700000
1974-08,2165300000
1974-09,2226600000
1974-10,2281500000
1974-11,2338500000
1974-12,2413700000
1975-01,2502600000
1975-02,2582300000
1975-03,2645000000
1975-04,2702400000
1975-05,2765000000
1975-06,2829400000
1975-07,2888300000
1975-08,2951200000
1975-09,3012800000
1975-10,3081600000
1975-11,3141300000
1975-12,3234900000
1976-01,3329400000
1976-02,3422900000
1976-03,3484500000
1976-04,3538000000
1976-05,3601100000
1976-06,3662100000
1976-07,3722500000
1976-08,3788000000
1976-09,3847500000
1976-10,3905800000
1976-11,3970200000
1976-12,4066100000
1977-01,4155900000
1977-02,4234600000
1977-03,4315200000
1977-04,4376400000
1977-05,4446800000
1977-06,4515400000
1977-07,4757500000
1977-08,4653300000
1977-09,4726000000
1977-10,4798700000
1977-11,4857300000
1977-12,4954000000
1978-01,5047800000
1978-02,5138300000
1978-03,5216700000
1978-04,5276600000
1978-05,5327700000
1978-06,5406000000
1978-07,5478600000
1978-08,5568300000
1978-09,5668500000
1978-10,5755400000
1978-11,5850600000
1978-12,5981400000
1979-01,6115500000
1979-02,6248700000
1979-03,6362700000
1979-04,6454300000
1979-05,6560000000
1979-06,6687100000
1979-07,6771200000
1979-08,6902200000
1979-09,7051300000
1979-10,7177600000
1979-11,7327200000
1979-12,7515500000
1980-01,7702300000
1980-02,7874100000
1980-03,8051800000
1980-04,8172400000
1980-05,8317100000
1980-06,8464100000
1980-07,8575500000
1980-08,8751600000
1980-09,8941400000
1980-10,9116700000
1980-11,9307600000
1980-12,9551200000
1981-01,9790700000
1981-02,10032000000
1981-03,10219400000
1981-04,10380800000
1981-05,10569500000
1981-06,10752600000
1981-07,10884100000
1981-08,11131800000
1981-09,11352100000
1981-10,11585000000
1981-11,11826900000
1981-12,12149800000
1982-01,12499600000
1982-02,12799400000
